InvoiceId               FirstName                       LastName  
----------------------  ------------------------------  ----------
1                       Luís                           Gonçalves
12                      Roberto                         Almeida   
2                       Leonie                          Köhler   
24                      Frank                           Ralston   
46                      Hugh                            O'Reilly  
3                       François                       Tremblay  
55                      Mark                            Taylor    
56                      Diego                           Gutiérrez
25                      Victor                          Stevens   
57                      Luis                            Rojas     
34                      João                           Fernandes 
35                      Madalena                        Sampaio   
58                      Manoj                           Pareek    
4                       Bjørn                          Hansen    
36                      Hannah                          Schneider 
47                      Lucas                           Mancini   
13                      Fernanda                        Ramos     
14                      Mark                            Philips   
37                      Fynn                            Zimmermann
59                      Puja                            Srivastava
15                      Jennifer                        Peterson  
26                      Richard                         Cunningham
16                      Frank                           Harris    
38                      Niklas                          Schröder 
5                       František                      Wichterlov
17                      Jack                            Smith     
39                      Camille                         Bernard   
48                      Johannes                        Van der Be
49                      Stanisław                      Wójcik   
18                      Michelle                        Brooks    
